Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps),loss,iptext,isp
12/09/25,17:15,4.01,0.26,559.02,666.76,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:20,4.33,0.54,572.0,679.88,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:25,3.99,0.19,627.08,678.16,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:30,4.67,0.29,595.18,674.4,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:35,4.14,0.13,537.97,667.35,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:40,4.17,0.25,417.71,673.18,0.9,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:45,4.63,0.6,596.6,685.2,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:50,3.94,0.03,626.5,682.69,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:55,4.12,0.14,597.22,678.06,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:00,3.96,0.13,569.59,522.47,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:05,4.16,0.09,524.49,649.01,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:10,4.0,0.23,581.27,662.34,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:15,3.9,0.08,610.87,681.18,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:20,4.14,0.2,556.6,638.1,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:25,4.45,0.17,767.92,641.48,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:30,4.23,0.23,531.39,539.36,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:35,5.2,0.45,538.8,650.56,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:40,4.23,0.3,581.51,680.8,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:45,4.33,0.24,858.24,665.2,0.6,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:50,4.5,0.62,409.96,665.16,0.5,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,18:55,4.51,0.45,860.53,686.26,0.6,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
