timestamp,iface,internal_ip,external_ip,server_id,server_name,ping_ms,jitter_ms,download_mbps,upload_mbps,result_url
2025-12-23T14:00:33Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.082,0.118,368.05884,357.8294,3TEL
2025-12-23T14:10:32Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.003,0.074,544.228032,420.84448,3TEL
2025-12-23T14:20:22Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.798,0.215,595.069104,387.242944,3TEL
2025-12-23T14:30:27Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,3.992,0.2,623.715304,390.005672,3TEL
2025-12-23T14:40:30Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.027,0.075,432.435448,397.166768,3TEL
2025-12-23T14:50:30Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.936,0.068,505.485696,390.724792,3TEL
2025-12-23T15:00:33Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.968,0.084,464.513088,228.94012,3TEL
2025-12-23T15:10:26Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.953,1.112,458.768384,401.583792,3TEL
2025-12-23T15:20:24Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.941,0.08,606.146968,293.267504,3TEL
2025-12-23T15:30:31Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.944,0.126,528.969528,385.611712,3TEL
2025-12-23T15:40:30Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.025,0.137,347.568128,398.4438,3TEL
2025-12-23T15:50:30Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,5.373,9.933,446.382384,392.33648,3TEL
2025-12-23T16:00:27Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.478,0.095,279.800096,401.924784,3TEL
2025-12-23T16:10:18Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,4.051,0.082,617.852056,394.280328,3TEL
2025-12-23T16:20:27Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.656,0.064,508.44448,390.48952,3TEL
2025-12-23T16:30:28Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.069,0.217,590.208672,435.058976,3TEL
2025-12-23T16:40:29Z,eth0.70,192.168.70.3,138.97.240.197,63107,Global Web Telecom,4.446,0.135,516.787064,394.575304,3TEL
2025-12-23T16:50:32Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,4.35,0.953,593.80284,296.377752,3TEL
2025-12-23T17:00:32Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.187,0.161,423.402352,416.162056,3TEL
2025-12-23T17:10:33Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.941,0.056,547.054736,283.211928,3TEL
2025-12-23T17:20:32Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.35,0.125,525.092056,418.074704,3TEL
2025-12-23T17:30:24Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.877,0.131,531.457784,413.906688,3TEL
2025-12-23T17:40:30Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.231,0.47,398.980064,408.822384,3TEL
2025-12-23T17:50:24Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.056,0.265,618.180552,396.147088,3TEL
2025-12-23T18:00:29Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.909,0.409,436.631488,399.284104,3TEL
2025-12-23T18:10:26Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.944,0.082,638.943336,295.28736,3TEL
2025-12-23T18:20:25Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.038,0.163,561.014848,404.953488,3TEL
2025-12-23T18:30:23Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.408,0.256,608.264664,403.70384,3TEL
2025-12-23T18:40:30Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,5.017,0.624,373.2706,409.813928,3TEL
2025-12-23T18:50:23Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,4.41,0.28,636.4386,399.880256,3TEL
2025-12-23T19:00:35Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.886,0.142,367.088992,370.97364,3TEL
2025-12-23T19:10:23Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,3.934,0.218,635.056376,400.539224,3TEL
2025-12-23T19:20:30Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.512,0.405,639.173208,403.705168,3TEL
2025-12-23T19:30:31Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.098,0.551,541.429888,406.810128,3TEL
2025-12-23T19:40:29Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,3.94,0.504,381.599536,400.860488,3TEL
2025-12-23T19:50:25Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.428,1.121,587.31436,396.773848,3TEL
2025-12-23T20:00:27Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.925,0.211,295.42252,432.490408,3TEL
2025-12-23T20:10:29Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.096,0.238,610.222336,393.326208,3TEL
2025-12-23T20:20:23Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,3.978,0.149,585.010688,393.682064,3TEL
2025-12-23T20:30:25Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.961,0.191,644.295168,316.298632,3TEL
2025-12-23T20:40:33Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.336,0.445,458.606096,420.598016,3TEL
2025-12-23T20:50:24Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.833,0.15,623.70028,393.785032,3TEL
2025-12-23T21:00:31Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.001,0.089,319.638368,439.367152,3TEL
2025-12-23T21:10:26Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.927,0.14,619.719912,228.748704,3TEL
2025-12-23T21:20:22Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.026,0.087,574.681072,391.127512,3TEL
2025-12-23T21:30:26Z,eth0.70,192.168.70.3,138.97.240.197,39792,SpedyNet,4.651,0.081,483.557848,388.6224,3TEL
2025-12-23T21:40:29Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.236,0.068,420.415192,401.824496,3TEL
2025-12-23T21:50:29Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.23,0.488,585.628736,396.768648,3TEL
2025-12-23T22:00:32Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.63,0.103,386.193704,426.312632,3TEL
2025-12-23T22:10:24Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.252,0.105,510.899872,390.891296,3TEL
2025-12-23T22:20:25Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.228,0.063,617.535752,399.13708,3TEL
2025-12-23T22:30:24Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.217,0.073,526.2056,393.638008,3TEL
2025-12-23T22:40:31Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.603,0.26,132.546008,392.557096,3TEL
2025-12-23T22:50:22Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.637,0.276,361.232312,429.80456,3TEL
2025-12-23T23:00:32Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,5.945,0.196,403.881488,403.553856,3TEL
2025-12-23T23:10:21Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.963,0.098,635.397344,399.03944,3TEL
2025-12-23T23:20:29Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.023,0.258,615.35168,392.817608,3TEL
2025-12-23T23:30:18Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.999,0.213,536.6086,393.474064,3TEL
2025-12-23T23:40:30Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.174,0.223,360.984768,396.523232,3TEL
2025-12-23T23:50:25Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.019,0.115,562.46264,394.645448,3TEL
2025-12-24T00:10:31Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.952,0.268,565.463368,391.151408,3TEL
2025-12-24T00:20:31Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.877,0.18,548.454376,391.650568,3TEL
2025-12-24T00:30:20Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,7.791,6.492,598.653592,414.74548,3TEL
2025-12-24T00:40:29Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.042,0.166,424.622744,401.745512,3TEL
2025-12-24T00:50:29Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.316,0.155,527.47676,390.727744,3TEL
2025-12-24T01:00:33Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,4.057,0.051,329.078784,409.358752,3TEL
2025-12-24T01:10:20Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.871,0.169,579.556912,397.474384,3TEL
2025-12-24T01:20:33Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.982,0.065,610.417408,434.59804,3TEL
2025-12-24T01:30:23Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.074,0.109,560.431624,391.75908,3TEL
2025-12-24T01:40:31Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.089,0.07,381.01028,408.113864,3TEL
2025-12-24T01:50:22Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.167,0.249,571.580192,400.967744,3TEL
2025-12-24T02:00:29Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.705,0.756,379.417952,404.567952,3TEL
2025-12-24T02:10:22Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.012,0.098,565.807136,412.294088,3TEL
2025-12-24T02:20:27Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.179,0.121,507.627736,397.46452,3TEL
2025-12-24T02:30:24Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.996,0.057,562.127752,395.363688,3TEL
2025-12-24T02:40:29Z,eth0.70,192.168.70.3,138.97.240.197,39792,SpedyNet,4.541,0.281,338.952048,396.522904,3TEL
2025-12-24T02:50:21Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.005,0.081,540.715304,389.378408,3TEL
2025-12-24T03:00:28Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.115,1.197,489.82104,393.402088,3TEL
2025-12-24T03:10:18Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.258,0.179,654.380912,393.121848,3TEL
2025-12-24T03:20:20Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.325,0.073,623.87468,396.47544,3TEL
2025-12-24T03:30:29Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.426,0.044,539.258096,211.871632,3TEL
2025-12-24T03:40:30Z,eth0.70,192.168.70.3,138.97.240.197,21107,CLICK & NAVEGUE,4.071,0.083,383.221176,393.03216,3TEL
2025-12-24T03:50:22Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.099,0.175,222.573032,141.387448,3TEL
2025-12-24T04:00:29Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.008,0.087,290.107848,396.263872,3TEL
2025-12-24T04:10:19Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.831,0.573,657.295408,392.045288,3TEL
2025-12-24T04:20:19Z,eth0.70,192.168.70.3,138.97.240.197,47219,CTI,4.533,0.49,522.534808,399.628256,3TEL
2025-12-24T04:30:23Z,eth0.70,192.168.70.3,138.97.240.197,39792,SpedyNet,4.209,0.093,582.554848,396.141568,3TEL
2025-12-24T04:40:29Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.981,0.025,324.557248,393.843872,3TEL
2025-12-24T04:50:31Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,3.934,0.137,402.321264,326.883504,3TEL
2025-12-24T05:00:30Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.945,0.16,445.222416,394.43104,3TEL
